"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"上午 01:10:12.2822863","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\exefile","SUCCESS","Desired Access: Read"
"上午 01:10:12.2823075","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: Name"
"上午 01:10:12.2823277","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2823428","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2823589","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\exefile\CurVer","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2824164","Akagi64.exe","6696","RegOpenKey","HKCR\exefile\CurVer","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2824635","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: Name"
"上午 01:10:12.2824951","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2825186","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2825465","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\exefile","SUCCESS","Desired Access: Read"
"上午 01:10:12.2825800","Akagi64.exe","6696","RegCloseKey","HKCU\Software\Classes\exefile","SUCCESS",""
"上午 01:10:12.2826228","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: Name"
"上午 01:10:12.2826512","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2826719","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2827044","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\exefile\ShellEx\IconHandler","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2827405","Akagi64.exe","6696","RegOpenKey","HKCR\exefile\ShellEx\IconHandler","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2827857","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"上午 01:10:12.2828144","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2828356","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2828597","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Read"
"上午 01:10:12.2828941","Akagi64.exe","6696","RegOpenKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Desired Access: Read"
"上午 01:10:12.2829387","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"上午 01:10:12.2829680","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2829969","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe\ShellEx\IconHandler","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2830250","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2830493","Akagi64.exe","6696","RegOpenKey","HKCR\SystemFileAssociations\.exe\ShellEx\IconHandler","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2831082","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: Name"
"上午 01:10:12.2831356","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2831602","Akagi64.exe","6696","RegOpenKey","HKCR\exefile","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"上午 01:10:12.2831894","Akagi64.exe","6696","RegQueryValue","HKCU\Software\Classes\exefile\DocObject","NAME NOT FOUND","Length: 12"
"上午 01:10:12.2832125","Akagi64.exe","6696","RegQueryValue","HKCR\exefile\DocObject","NAME NOT FOUND","Length: 12"
"上午 01:10:12.2832471","Akagi64.exe","6696","RegCloseKey","HKCR\exefile","SUCCESS",""
"上午 01:10:12.2832695","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: Name"
"上午 01:10:12.2833032","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2833233","Akagi64.exe","6696","RegQueryKey","HKCU\Software\Classes\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2833468","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\exefile\DocObject","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2833764","Akagi64.exe","6696","RegOpenKey","HKCR\exefile\DocObject","NAME NOT FOUND","Desired Access: Query Value"
"上午 01:10:12.2834065","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"上午 01:10:12.2834326","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"上午 01:10:12.2835085","Akagi64.exe","6696","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"上午 01:10:12.2835417","Akagi64.exe","6696","RegQueryValue","HKCR\SystemFileAssociations\.exe\DocObject","NAME NOT FOUND","Length: 12"
"上午 01:10:12.2835689","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"上午 01:10:12.2835960","Akagi64.exe","6696","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x0"
